numunitid,Description
1,%
2,% HB
3,(0-3)
4,*10^6/cu mm
5,*10^9/cumm
6,*10^9/l
7,+
8,/-2
9,/1
10,/10
11,/100WBC
12,/12
13,/15
14,/16
15,/19
16,/2
17,/21
18,/21 Depression
19,/23
20,/24
21,/25
22,/26
23,/27
24,/28
25,/3
26,/30
27,/30 MMSE
28,/35
29,/4
30,/40
31,/5
32,/6
33,/60
34,/63
35,/7
36,/8
37,/9
38,/d
39,/day
40,/day (past)
41,/min
42,/minute
43,/per day
44,/uL
45,/week
46,/wk
47,/year
48,[arb'U]
49,[iU]/L
50,[iU]/mL
51,_
52,{beats}/min
53,{breaths}/min
54,{cigarettes}/d
55,{cigars}/d
56,{copies/mL}
57,{log-unit}
58,{ratio}
59,{Resp}/min
60,{U}/L
61,{Units}/d
62,{units}/wk
63,0
64,1
65,01-Jan
66,1/min
67,10
68,10 12/L
69,10 9/L
70,10%
71,10'12/l
72,10'9/l
73,10*12 cells/L
74,10*12/L
75,10*6/L
76,10*9 cells/L
77,10*9/L
78,10/12L
79,10/9L
80,10/day
81,10^12/l
82,10^9/l
83,170
84,2
85,20
86,20/day
87,28 day
88,4
89,50
90,65
91,7
92,70
93,71
94,79
95,7times/week
96,94
97,a
98,a day
99,ABPI
100,Abrreviated score
101,angular degrees
102,anti-Xa IU/ml
103,BDI-2
104,beats/min
105,beats/minute
106,Blood chemistry
107,Blood film
108,Body Mass Index
109,breaths/min
110,C
111,Cel
112,Cervical smear - candida
113,Cervical smear action NOS
114,Cervical smear-no inflammation
115,Cervical smear: negative
116,ch
117,Cig/d(past)
118,Cigarettes/day
119,cigs/d
120,Cigs/Day
121,cigs/day (past)
122,cm
123,courses/year
124,cp
125,CPMS ID
126,d
127,d/wk(mod-exerc)
128,day
129,days
130,days/week
131,degrees C
132,degrees centigrade
133,fasting mmol/l
134,fL
135,FSH level
136,Full blood count - FBC
137,g/24h
138,g/dL
139,g/L
140,g/mol
141,g/week
142,GPL U/ml
143,GPLU/ml
144,grade
145,grams/wk
146,Haematology
147,Histology
148,hour
149,hours/day
150,Hrs
151,i.u./l
152,Infectious mononucleosis test
153,IU
154,iu/L
155,iu/ml
156,kg
157,kg/m2
158,km
159,ku/L
160,l
161,L/24h
162,l/l
163,l/min
164,l/minute
165,light d/wk
166,litre
167,Litres
168,Litres per Minute
169,litres/min
170,Liver function tests
171,lpm
172,Luteinising hormone - L.H.
173,m
174,m[iU]/L
175,m2
176,MCMOL/L
177,meter
178,mg
179,mg/:
180,mg/100 ml
181,mg/day
182,MG/DL
183,mg/L
184,mg/L FEU
185,mg/ml
186,mg/mmol
187,mg/mmol Crea
188,mg/mmol creat
189,mg/mmol(creat)
190,mg/mmolcreat
191,micmol/l
192,Microbiology
193,microg/L
194,microgram/g
195,microgram/ml
196,micromicgrams
197,micromol/L
198,microns
199,mIU/L
200,ml
201,ml/24h
202,ml/min
203,ml/min/1.7
204,mL/min/1.73.ar
205,ml/min/1.73m*2
206,ml/min/1.73m^2
207,ml/min/1.73m2
208,mL/min/1.73sq.m
209,mm
210,mm Hg
211,mm/h
212,mm/Hg
213,mm/hour
214,mm/hr
215,mm[Hg]
216,mmHg
217,mmol/24h
218,mmol/L
219,mmol/mmol
220,mmol/mol
221,mo
222,mod exercise
223,mol/mol
224,mosmol/kg
225,mPa's
226,mPa.s
227,MPLU/ml
228,MSU - general
229,mu/L
230,nanogram/ml
231,ng TDP/g Hb
232,ng/L
233,ng/mL
234,nmol/24h
235,nmol/L
236,nnmol/l
237,no./day
238,no/month
239,no/mth
240,no/week
241,no/year
242,oz/week
243,oz/wk
244,oz/wk.
245,pack years
246,per cent
247,per day
248,per month
249,percentage unit
250,pg
251,pg/cell
252,pg/l
253,pg/mL
254,pH
255,pipe oz(28g)/wk
256,pmol/L
257,ppm
258,ppmCO
259,random mmol/l
260,ratio
261,s
262,Score
263,seconds
264,secs
265,Serology: organism
266,Serum electrolytes
267,Serum lipids
268,T-score
269,Tgt chol
270,Thyroid hormone tests
271,times a week
272,times/day
273,times/week
274,titre
275,u/day
276,u/L
277,U/mL
278,U/week
279,ug/g
280,ug/g faeces
281,ug/gfaeces
282,ug/gHb
283,ug/L
284,umol/24h
285,umol/L
286,umol/mol{Hb}
287,umol/molHAEM
288,units
289,units/w
290,units/week
291,units/wk
292,Unk UoM
293,Urea and electrolytes
294,Urine culture
295,Urine pregnancy test
296,Urine tests
297,uU/L
298,week
299,weeks
300,within 12 mth
301,wk
302,x10'12/l
303,x10'9/l
304,x10*12/L
305,x10*9/L
306,x10^12/l
307,x10^9/l
308,year
309,years
310,yrs@20cigs/day
311,MoM
312,mOsm/Kg
313,02-Dec
314,tubes
315,mls
316,x10/ejac.
317,mmol/d
318,u/dl
319,mL/s
320,KA/dL
321,x 10*9/L
