PRODUCT_ID,MANUFACTURER,DEPARTMENT,BRAND,COMMODITY_DESC,SUB_COMMODITY_DESC,CURR_SIZE_OF_PRODUCT
25671,2,GROCERY,National,FRZN ICE,ICE - CRUSHED/CUBED,22 LB
26081,2,MISC. TRANS.,National,NO COMMODITY DESCRIPTION,NO SUBCOMMODITY DESCRIPTION, 
26093,69,PASTRY,Private,BREAD,BREAD:ITALIAN/FRENCH, 
26190,69,GROCERY,Private,FRUIT - SHELF STABLE,APPLE SAUCE,50 OZ
26355,69,GROCERY,Private,COOKIES/CONES,SPECIALTY COOKIES,14 OZ
26426,69,GROCERY,Private,SPICES & EXTRACTS,SPICES & SEASONINGS,2.5 OZ
26540,69,GROCERY,Private,COOKIES/CONES,TRAY PACK/CHOC CHIP COOKIES,16 OZ
26601,69,DRUG GM,Private,VITAMINS,VITAMIN - MINERALS,300CT(1)
26636,69,PASTRY,Private,BREAKFAST SWEETS,SW GDS: SW ROLLS/DAN, 
26691,16,GROCERY,Private,PNT BTR/JELLY/JAMS,HONEY,12 OZ
26738,69,GROCERY,Private,ICE CREAM/MILK/SHERBTS,TRADITIONAL,56 OZ
26889,32,DRUG GM,National,MAGAZINE,TV/MOVIE-MAGAZINE, 
26941,69,GROCERY,Private,ICE CREAM/MILK/SHERBTS,TRADITIONAL,56 OZ
27021,2,GROCERY,National,AIR CARE,AIR CARE - AEROSOLS, 
27030,69,GROCERY,Private,ICE CREAM/MILK/SHERBTS,TRADITIONAL,56 OZ
27152,69,GROCERY,Private,SPICES & EXTRACTS,SPICES & SEASONINGS,4 OZ
27158,69,GROCERY,Private,ICE CREAM/MILK/SHERBTS,TRADITIONAL,56 OZ
