item,itemLabel,height,unitHeightLabel,width,unitWidthLabel,inception,precisionLabel
http://www.wikidata.org/entity/Q16726206,The World Trade Center Tapestry,6.1,metre,11,metre,1974-01-01T00:00:00Z,year
http://www.wikidata.org/entity/Q18683713,Portrait of Louis XV in his royal costume,271,centimetre,161,centimetre,1769-01-01T00:00:00Z,year
http://www.wikidata.org/entity/Q18719634,Tapestry of the Fundació,750,centimetre,500,centimetre,1979-01-01T00:00:00Z,year
http://www.wikidata.org/entity/Q18719656,Q18719656,1053.7,centimetre,604.3,centimetre,1977-01-01T00:00:00Z,year
http://www.wikidata.org/entity/Q20183573,The Holy Family,119.2,centimetre,103.1,centimetre,1500-01-01T00:00:00Z,year
http://www.wikidata.org/entity/Q20201019,Christ Is Born as Man's Redeemer (Episode from the Story of the Redemption of Man),422.3,centimetre,800.4,centimetre,1550-01-01T00:00:00Z,century
http://www.wikidata.org/entity/Q20201229,Julius Caesar and Attendants (from the Nine Heroes Tapestries),420.4,centimetre,231.1,centimetre,1405-01-01T00:00:00Z,decade
http://www.wikidata.org/entity/Q21121905,Q21121905,505,centimetre,350,centimetre,1640-01-01T00:00:00Z,century
http://www.wikidata.org/entity/Q22976847,The Wrath of Achilles,417,centimetre,390,centimetre,1630-01-01T00:00:00Z,decade
http://www.wikidata.org/entity/Q29383303,Q29383303,53.3,centimetre,33,centimetre,1099-01-01T00:00:00Z,century
http://www.wikidata.org/entity/Q29383577,Seasons and Elements (Air) (set of four),426.7,centimetre,274.3,centimetre,1683-01-01T00:00:00Z,decade
http://www.wikidata.org/entity/Q29383690,The Triumph of Fame,359.4,centimetre,335.3,centimetre,1503-01-01T00:00:00Z,decade
http://www.wikidata.org/entity/Q29385342,Courtiers in a Rose Garden: A Lady and Two Gentlemen,288.9,centimetre,325.1,centimetre,1445-01-01T00:00:00Z,decade
http://www.wikidata.org/entity/Q29385411,Fragment of a Tapestry or Wall Hanging,85,centimetre,75,centimetre,1425-01-01T00:00:00Z,decade
http://www.wikidata.org/entity/Q29385445,The Unicorn in Captivity (from the Unicorn Tapestries),368,centimetre,251.5,centimetre,1500-01-01T00:00:00Z,decade
http://www.wikidata.org/entity/Q55360827,Saint Bonaventure at prayer,308,centimetre,365,centimetre,1750-01-01T00:00:00Z,century
http://www.wikidata.org/entity/Q55360834,Saint Bonaventure teaching,325,centimetre,475,centimetre,1750-01-01T00:00:00Z,century
http://www.wikidata.org/entity/Q55360887,Saint Bonaventure making profession,320,centimetre,375,centimetre,1750-01-01T00:00:00Z,century
http://www.wikidata.org/entity/Q55360901,Saint Bonaventure receiving his cardinal's hat,310,centimetre,400,centimetre,1750-01-01T00:00:00Z,century
http://www.wikidata.org/entity/Q55720371,Q55720371,3.35,centimetre,4.95,metre,1687-01-01T00:00:00Z,decade
http://www.wikidata.org/entity/Q57943585,L'Adoration des mages,2580,millimetre,3770,millimetre,1904-01-01T00:00:00Z,year
http://www.wikidata.org/entity/Q61781458,The Virgin of The Apocalypse with Saint Catherine and Saint Barbara,101.6,centimetre,165.1,centimetre,1525-01-01T00:00:00Z,decade
