item,itemLabel,height,unitHeightLabel
http://www.wikidata.org/entity/Q3414722,Quito de Baussy,1.68,metre
http://www.wikidata.org/entity/Q3470938,Sampson,2.19,metre
http://www.wikidata.org/entity/Q3663297,Catapulte,1.72,metre
http://www.wikidata.org/entity/Q1679759,Jalisco B,1.7,metre
http://www.wikidata.org/entity/Q2142897,Rembrandt,1.66,metre
http://www.wikidata.org/entity/Q2649211,Alligator Fontaine,1.75,metre
http://www.wikidata.org/entity/Q2649831,Alme,1.65,metre
http://www.wikidata.org/entity/Q1026643,Caletto II,1.69,metre
http://www.wikidata.org/entity/Q1027559,Calvaro Z,1.76,metre
http://www.wikidata.org/entity/Q1131753,Cor de la Bryere,1.68,metre
http://www.wikidata.org/entity/Q1183415,Deister,1.71,metre
http://www.wikidata.org/entity/Q3007504,Cumano,1.78,metre
http://www.wikidata.org/entity/Q3073260,Flambeau C,1.63,metre
http://www.wikidata.org/entity/Q3094865,Galoubet A,1.73,metre
http://www.wikidata.org/entity/Q3147477,Ibrahim,1.64,metre
http://www.wikidata.org/entity/Q3267883,Lutin d'Isigny,1.61,metre
http://www.wikidata.org/entity/Q3331409,Mylord Carthago,1.71,metre
http://www.wikidata.org/entity/Q6374929,Kasztanka,150,centimetre
http://www.wikidata.org/entity/Q7293563,Rantzau,1.65,metre
http://www.wikidata.org/entity/Q7447610,Seldom Seen,1.47,metre
http://www.wikidata.org/entity/Q5286569,Dobels Cento,1.71,metre
http://www.wikidata.org/entity/Q5509548,Furioso II,1.66,metre
http://www.wikidata.org/entity/Q5520756,Gandini Lianos,1.68,metre
http://www.wikidata.org/entity/Q7781932,Theodore O'Connor,1.47,metre
http://www.wikidata.org/entity/Q10591868,Q10591868,1.58,metre
http://www.wikidata.org/entity/Q10656182,Robin Z,1.66,metre
http://www.wikidata.org/entity/Q64826947,Q64826947,1.74,metre
http://www.wikidata.org/entity/Q64831550,Q64831550,1.7,metre
http://www.wikidata.org/entity/Q64842606,Domino,1.7,metre
http://www.wikidata.org/entity/Q64909157,Q64909157,1.72,metre
http://www.wikidata.org/entity/Q64944904,Q64944904,1.68,metre
http://www.wikidata.org/entity/Q65939603,Ultimate,1.66,metre
http://www.wikidata.org/entity/Q65950404,Q65950404,1.68,metre
http://www.wikidata.org/entity/Q65964434,Adelfos,1.72,metre
http://www.wikidata.org/entity/Q65964511,Allegria de Grandchamp,1.6,metre
http://www.wikidata.org/entity/Q65964529,Jesabelle de Baugy,1.67,metre
http://www.wikidata.org/entity/Q65964536,Athlet Z,1.68,metre
http://www.wikidata.org/entity/Q65964569,Qredo de Paulstra,1.69,metre
http://www.wikidata.org/entity/Q65964612,Ultimo van ter Moude,1.65,metre
http://www.wikidata.org/entity/Q55436225,Legend of Love,1.72,metre
http://www.wikidata.org/entity/Q55979186,MJT Nevados S,1.68,metre
http://www.wikidata.org/entity/Q56086101,Q56086101,1.47,metre
http://www.wikidata.org/entity/Q56449605,Catch Me If You Can,169,centimetre
http://www.wikidata.org/entity/Q56451628,Clintrexo Z,1.65,metre
http://www.wikidata.org/entity/Q56461825,Royal Feu,1.69,metre
http://www.wikidata.org/entity/Q56462450,Colore,1.7,metre
http://www.wikidata.org/entity/Q56542092,Persan II,1.67,metre
http://www.wikidata.org/entity/Q56677083,Nashville III,1.62,metre
http://www.wikidata.org/entity/Q56887821,Quirinal,1.66,metre
http://www.wikidata.org/entity/Q57778116,Poliglote,160,centimetre
http://www.wikidata.org/entity/Q59113018,Agentin,1.63,metre
http://www.wikidata.org/entity/Q59693377,Wellesley Arabian,1.57,metre
http://www.wikidata.org/entity/Q59928832,Pro Pilot II,1.7,metre
http://www.wikidata.org/entity/Q61768041,Garfield de Tiji des Templiers,1.7,metre
http://www.wikidata.org/entity/Q61782304,Crunch 3,1.74,metre
http://www.wikidata.org/entity/Q61793487,Pegase du Murier,1.72,metre
http://www.wikidata.org/entity/Q61841927,Quartz Rouge,1.72,metre
http://www.wikidata.org/entity/Q61978165,Q61978165,1.7,metre
http://www.wikidata.org/entity/Q61978321,Q61978321,1.67,metre
