id,name,currency
18649486,The Drunken Botanist,Rs.
308322,Hauz Khas Social,Rs.
18856789,AIR- An Ivory Region,Rs.
307374,AMA Cafe,Rs.
18238278,Tamasha,Rs.
18268712,Chili's Grill & Bar,Rs.
18198449,Punjabi Angithi,Rs.
18382360,Local,Rs.
18273624,Cafeteria & Co.,Rs.
18466951,Jungle Jamboree,Rs.
306046,SodaBottleOpenerWala,Rs.
18337893,The Luggage Room Kitchen And Bar,Rs.
18518483,Echoes Hudson Lane,Rs.
18246991,Odeon Social,Rs.
8913,Pirates of Grill,Rs.
313256,The Junkyard Cafe,Rs.
18562836,Diggin,Rs.
17953943,The Burger Club,Rs.
18258498,Chinese Kitchen,Rs.
18537536,Chili's Grill & Bar,Rs.
18707652,Zam Zam,Rs.
18571735,Dum Laga Ke Haishaa,Rs.
18398880,JW Kitchen - JW Marriott Hotel Kolkata,Rs.
18677746,Burger in Law,Rs.
17983797,Dada Boudi Restaurant,Rs.
18538536,Scrapyard,Rs.
25570,Barbeque Nation,Rs.
18354569,Tram Deepo,Rs.
18259462,Ocean Grill,Rs.
18761167,Echoes Kolkata,Rs.
18751849,Five Mad Men,Rs.
20747,India Restaurant,Rs.
18461760,Kankurgachi Dhaba,Rs.
20404,Peter Cat,Rs.
18017615,What's Up,Rs.
18265479,BJs Sports Restrau Cum Lounge,Rs.
18377098,CALCUTTA 64,Rs.
18377112,Nawwarah Fine Dine & Lounge,Rs.
18610904,The Fatty Bao,Rs.
18711365,The Saffron Tree,Rs.
18392725,Tamasha,Rs.
18701052,The Fusion Kitchen,Rs.
18548172,Hitchki,Rs.
18591040,Hitchki,Rs.
19008239,HAS South Bombay,Rs.
18392711,Lord Of The Drinks,Rs.
18616378,Lord of the Drinks,Rs.
18669432,HITCHKI,Rs.
18566818,JLWA,Rs.
48851,Rude Lounge,Rs.
18205932,The Cult - Peninsula Grand Hotel,Rs.
18732598,Timess Square,Rs.
18580259,Coffee Culture,Rs.
34757,Joey's Pizza,Rs.
18522518,Vikhroli Social,Rs.
18917650,Warehouse Kitchenbar,Rs.
35217,Joey's Pizza,Rs.
18397684,Craftbar,Rs.
36403,Prithvi Cafe,Rs.
18691230,Grandmama's Café,Rs.
58882,Byg Brewski Brewing Company,Rs.
18706428,Byg Brewski Brewing Company,Rs.
18871246,ShakesBierre,Rs.
18772094,Bombay Adda,Rs.
18578798,TBC Sky Lounge,Rs.
18945224,Secret Of Bangalore,Rs.
18254597,Brew and Barbeque - A Microbrewery Pub,Rs.
18387426,The Black Pearl,Rs.
57833,Big Pitcher,Rs.
54162,The Black Pearl,Rs.
18853706,Brahma Brews,Rs.
18625420,Burma Burma,Rs.
18595782,The Pallet,Rs.
18537585,The Reservoire,Rs.
56618,AB's - Absolute Barbecues,Rs.
51040,Truffles,Rs.
18874059,The Pump House,Rs.
18709627,Simon Says Brew Works,Rs.
18727906,XOOX Brewmill,Rs.
18642512,Stories,Rs.
18893197,FC Road Social,Rs.
18880433,BeHive,Rs.
18715982,Flechazo,Rs.
18562250,Cafe Co2 Resto Lounge,Rs.
6508166,Flying Duck Co.,Rs.
18586395,Onesta,Rs.
18732937,Darshan,Rs.
18784250,Universal Barbeque,Rs.
18740139,Grandmama's Cafe,Rs.
18545152,AB's - Absolute Barbecues,Rs.
18417624,The Sassy Spoon,Rs.
18383095,Teddy Boy,Rs.
18621437,The FML Lounge,Rs.
18890430,The Barkhana,Rs.
18617201,Onesta,Rs.
18650304,Tatva,Rs.
18657534,Viman Nagar Social,Rs.
18536004,Culture - पुणे,Rs.
6508323,The Urban Foundry,Rs.
18678581,Hippie@Heart,Rs.
90896,Bawarchi,Rs.
18550292,Flechazo,Rs.
