numunitid,obsval,source_code_description,description
218,1010119400,millimole per liter,mmol/L
77,828007861,billion per liter,10*9/L
210,437812195,millimeter mercury column,mm Hg
139,436023052,gram per liter,g/L
285,311860972,micromole per liter,umol/L
216,282427034,millimeter mercury column,mmHg
1,233631482,percent,%
156,226737938,kilogram,kg
276,170436578,unit per liter,u/L
134,168933634,femtoliter,fL
154,157441910,international unit per liter,iu/L
250,140055591,picogram,pg
122,120565291,centimeter,cm
74,112036798,trillion per liter,10*12/L
138,110198010,gram per deciliter,g/dL
157,79003542,kilogram per square meter,kg/m2
104,62516371,heartbeat,beats/min
307,62427417,billion per liter,x10^9/l
202,56840980,milliliter per minute,ml/min
229,56294544,milliunit per liter,mu/L
162,56111310,liter per liter,l/l
283,55423060,microgram per liter,ug/L
183,53676869,milligram per liter,mg/L
220,53215155,millimole per mole,mmol/mol
82,45281913,billion per liter,10^9/l
256,41128396,picomole per liter,pmol/L
290,39811574,per week,units/week
305,39419771,billion per liter,x10*9/L
163,36774919,liter per minute,l/min
199,31283120,milli-international unit per liter,mIU/L
278,31100552,unit per week,U/week
131,29839931,degree Celsius,degrees C
260,28439904,ratio,ratio
211,25260500,millimeter per hour,mm/h
232,24041501,nanogram per liter,ng/L
215,22686734,millimeter mercury column,mm[Hg]
207,22035244,milliliter per minute per 1.73 square meter,ml/min/1.73m2
235,18707010,nanomole per liter,nmol/L
42,18175766,per minute,/minute
39,17952316,per 24 hours,/day
29,15111443,score,/4
205,15012166,milliliter per minute per 1.73 square meter,ml/min/1.73m*2
186,13627112,milligram per millimole,mg/mmol
65,13070514,liter per liter,1/1
12,12393394,score,/12
69,11547154,billion per liter,10 9/L
321,11302665,billion per liter,x 10*9/L
206,11039711,milliliter per minute per 1.73 square meter,ml/min/1.73m^2
118,10754268,per 24 hours,Cigarettes/day
233,10056009,nanogram per milliliter,ng/mL
292,10045260,unit,Unk UoM
306,9646752,trillion per liter,x10^12/l
44,8490381,per microliter,/uL
49,8177996,international unit per liter,[iU]/L
261,8167495,second,s
304,6908446,trillion per liter,x10*12/L
212,6790377,millimeter mercury column,mm/Hg
160,6623653,liter,l
214,6122069,millimeter per hour,mm/hr
164,6095046,liter per minute,l/minute
81,6079503,trillion per liter,10^12/l
421,5833368,,.
47,5571947,per year,/year
6,5553394,billion per liter,*10^9/l
166,5417623,liter,litre
25,5410207,score,/3
76,5302071,billion cells per liter,10*9 cells/L
30,5222296,score,/40
884,5160453,billion per liter,x10\S\9l
288,4949529,unit,units
431,4583748,per billion,x10^9
23,4247683,score,/27
405,4105079,unit,UNKNOWN UNITS
246,3980317,percent,per cent
247,3755675,per 24 hours,per day
277,3653036,unit per milliliter,U/mL
105,3581488,heartbeat,beats/minute
155,3553995,international unit per milliliter,iu/ml
323,3469723,billion,10^9
75,3224785,million per liter,10*6/L
159,3163775,kilounit per liter,ku/L
253,3055637,picogram per milliliter,pg/mL
14,2998850,score,/16
21,2965541,score,/25
209,2819317,millimeter,mm
52,2760381,heartbeat,{beats}/min
167,2668229,liter,Litres
1250,2597813,billion per liter,10**9/L
226,2558683,millipascal second,mPa.s
174,2435984,milli-international unit per liter,m[iU]/L
343,2337758,heartbeat,bpm
125,2305614,,CPMS ID
1072,2245257,million per liter,x10*6/L
204,2222115,milliliter per minute per 1.73 square meter,mL/min/1.73.ar
377,2178944,milliliter per minute,mLs/min
273,2163855,per week,times/week
433,2150414,billion per liter,x10e9/l
37,2072049,score,/9
178,2023748,milligram,mg
895,1931592,per cubic millimeter,/mm*3
334,1915463,per liter,/L
397,1906136,milliliter per minute per 1.73 square meter,ml/min/1.73 m2
920,1892203,percent,%CV
17,1841439,score,/21
11,1724031,per 100 white blood cells,/100WBC
62,1674711,unit per week,{units}/wk
1224,1672242,thousand per microliter,10*3/uL
219,1653534,millimole per millimole,mmol/mmol
585,1644176,billion per liter,x 10^9/l
22101,1616361,kilogram per square meter,Kg/mÂ²
213,1607010,millimeter per hour,mm/hour
1039,1571528,milliliter per minute per 1.73 square meter,ml/min/bsa
308,1518284,year,year
197,1485205,micromole per liter,micromol/L
98,1470162,per 24 hours,a day
326,1435442,liter per minute,litres/minute
68,1435388,trillion per liter,10 12/L
173,1413161,meter,m
45,1386483,per week,/week
892,1372825,millimole per mole of hemoglobin,mmol/molHb
428,1369467,trillion per liter,x 10*12/L
203,1365404,milliliter per minute per 1.73 meter,ml/min/1.7
381,1348990,degree Celsius,degC
449,1318640,milliliter per minute per 1.73 square meter,mL/min/1.73sqm
721,1312853,minute,min
688,1269206,units,units=*
111,1269151,degree Celsius,Cel
714,1217475,billion per liter,x10^9 /L
263,1211815,second,seconds
911,1199319,milliliter per minute per 1.73 meter,mL/m/1.73m
299,1198070,week,weeks
5,1184509,billion per liter,*10^9/cumm
335,1123204,billion per liter,x 10^9/litre
32,1104958,score,/6
191,1083389,micromole per liter,micmol/l
279,1070840,microgram per gram,ug/g
251,1002154,picogram per cell,pg/cell
140,991710,gram per mole,g/mol
862,947880,billion,10*9
957,928489,Farad per liter,f/L
348,917892,microunit per liter,MicroU/L
129,917784,day,days
51,905353,units,_
193,904414,microgram per liter,microg/L
141,897215,gram per time,g/week
198,881946,micrometer,microns
986,853414,unit,Not given
14659,805395,billion per liter,e9/l
189,753134,milligram per millimole of creatinine,mg/mmol(creat)
894,736841,trillion per liter,x10\S\12l
264,734330,second,secs
416,726448,milliunit per liter,10^3/uL
389,724210,per trillion,10^12
79,719167,billion per liter,10/9L
309,712333,year,years
262,709756,score,Score
4,705036,million per cubic millimeter,*10^6/cu mm
1155,684338,unit,(Unknown)
816,679973,mole per liter,mol/L
257,678748,parts per million,ppm
124,673570,centipoise,cp
344,670939,milliliter per minute per 1.73 square meter,mL/min/1.73*2
176,669536,micromole per liter,MCMOL/L
40,659495,per 24 hours,/day (past)
879,656783,millimole per mole,IFCCmmol/mol
298,650671,week,week
360,650573,picogram per cell,pg/cl
413,639238,parts per trillion,x10^12
1031,631545,millimole per mole,mM/M
1243,626214,billion per liter,x10^9l
392,626144,billion per liter,x10 9/
923,624267,unit,Unknown
24,615022,score,/28
291,613030,unit per week,units/wk
128,590776,day,day
73,588601,trillion cells per liter,10*12 cells/L
370,586636,thousand allergen-specific IgE antibody units per liter,KUa/L
832,582499,microgram per milliliter,ug/ml
829,569451,calculated,(Calculated)
797,569284,per cubic millimeter,cmm
1303,564328,milliliter per minute per 1.73 square meter,mL/min/1.72m*2
1035,561126,millimeter per hour,mm1st hr
182,554446,milligram per deciliter,MG/DL
1043,543550,percent hemoglobin,% total Hb
153,542510,international unit,IU
861,530767,milliliter per minute per 1.73 square meter,mL/min/1.73m\S\2
41,530483,per minute,/min
108,530401,kilogram per square meter,Body Mass Index
130,511475,day per week,days/week
120,497650,per 24 hours,Cigs/Day
1257,491342,per 100 white blood cells,per 100 wbcs
200,489700,milliliter,ml
208,489543,milliliter per minute per 1.73 square meter,mL/min/1.73sq.m
31,486880,score,/5
1281,485679,,Stage
1640,484393,billion per liter,X 10 9/L
243,483118,,oz/wk
26,479948,score,/30
353,477685,Decibel,dB
188,469325,milligram per millimole of creatinine,mg/mmol creat
615,453370,millimeter per hour,mm/1 hr
10,442538,unit per 10,/10
110,440274,degree Celsius,C
1045,439527,billion per liter,10/9 l
230,428641,nanogram per milliliter,nanogram/ml
380,426115,unit per week,units per week
196,416871,microgram,micromicgrams
169,412729,liter per minute,litres/min
886,412693,milliliter per minute,mls/min/sa
826,411191,thousand per liter,10*3/L
53,408012,counts per minute,{breaths}/min
115,406948,,Cervical smear: negative
148,406739,hour,hour
852,393707,international unit per liter,iu/L(37C)
4007,393286,milliliter per minute per 1.73 meter,ml/min/1.73
1113,391637,billion per liter,x 109/l
301,390653,week,wk
821,389959,per billion,X10*9
9,384016,score,/1
408,382178,centimeter,cms
1094,379093,percent of white blood cells,% WBC
937,375851,avidity index,AI
391,371463,million per liter,x10^6/L
66,366025,liter per minute,1/min
1354,365704,billion per liter,x109/l
1219,358619,trillion per liter,10**12/L
137,347319,gram per 24 hours,g/24h
350,346706,second,sec
254,344327,pH,pH
151,339542,international unit per liter,i.u./l
54,336687,per 24 hours,{cigarettes}/d
384,330173,millipascal second,mPa/s
223,318231,ratio,mol/mol
14657,317856,trillion per liter,e12/l
341,314925,trillion per liter,x10e12/l
568,313197,kilogram per square meter,BMI
16,310552,score,/2
336,308624,percent,RBC/Blood
371,301115,kilo-international unit per liter,kiu/L
1333,291593,second,second
1256,290564,billion per milliliter,10*9/mL
1038,289472,millimeter,/mm
1207,288003,millimeter mercury column,Systolic
1240,287981,millimeter mercury column,Diastolic
657,281926,kilogram per square meter,Kg/mÃÂ²
1681,277670,billion per liter,X 10-9/l
180,264836,,mg/100 ml
1422,261877,million per liter,10^6/L
358,260829,per 100 white blood cells,/100(WBC)
121,260155,per 24 hours,cigs/day (past)
364,259066,femtoliter,femto L
347,255283,trillion per liter,10*-2
63,255168,,0
414,247670,trillion per liter,10*12/
402,246801,degree Celsius,Celsius
303,244501,billion per liter,x10'9/l
2383,241727,milliliter per minute per 1.73 square meter,ml/min/1.73 m*2
1018,241398,million per microliter,10*6/uL
1285,240197,clinical unit,CU
109,239738,counts per minute,breaths/min
78,236629,trillion per liter,10/12L
126,233976,day,d
