0,1,2,3
hes,62 L,magnitude,62
hes,62 L,unit,"['liter', 'L', 'litre', 'l']"
hes,116 L,magnitude,116
hes,116 L,unit,"['liter', 'L', 'litre', 'l']"
hes,67l,magnitude,67
hes,67l,unit,"['liter', 'L', 'litre', 'l']"
hes,120l,magnitude,120
hes,120l,unit,"['liter', 'L', 'litre', 'l']"
hes,165l,magnitude,165
hes,165l,unit,"['liter', 'L', 'litre', 'l']"
hes,170l,magnitude,170
hes,170l,unit,"['liter', 'L', 'litre', 'l']"
hes,194l,magnitude,194
hes,194l,unit,"['liter', 'L', 'litre', 'l']"
hes,225l,magnitude,225
hes,225l,unit,"['liter', 'L', 'litre', 'l']"
hes,84L,magnitude,84
hes,84L,unit,"['liter', 'L', 'litre', 'l']"
hes,90L,magnitude,90
hes,90L,unit,"['liter', 'L', 'litre', 'l']"
hes,102L,magnitude,102
hes,102L,unit,"['liter', 'L', 'litre', 'l']"
hes,122L,magnitude,122
hes,122L,unit,"['liter', 'L', 'litre', 'l']"
hes,130L,magnitude,130
hes,130L,unit,"['liter', 'L', 'litre', 'l']"
hes,147L,magnitude,147
hes,147L,unit,"['liter', 'L', 'litre', 'l']"
hes,165L,magnitude,165
hes,165L,unit,"['liter', 'L', 'litre', 'l']"
hes,181L,magnitude,181
hes,181L,unit,"['liter', 'L', 'litre', 'l']"
hes,186L,magnitude,186
hes,186L,unit,"['liter', 'L', 'litre', 'l']"
hes,200L,magnitude,200
hes,200L,unit,"['liter', 'L', 'litre', 'l']"
hes,212L,magnitude,212
hes,212L,unit,"['liter', 'L', 'litre', 'l']"
hes,225L,magnitude,225
hes,225L,unit,"['liter', 'L', 'litre', 'l']"
hes,346L,magnitude,346
hes,346L,unit,"['liter', 'L', 'litre', 'l']"
hes,130 lts,magnitude,130
hes,130 lts,unit,"['liter', 'L', 'litre', 'l']"
hes,115lts,magnitude,115
hes,115lts,unit,"['liter', 'L', 'litre', 'l']"
hes,131lts,magnitude,131
hes,131lts,unit,"['liter', 'L', 'litre', 'l']"
hes,204lts,magnitude,204
hes,204lts,unit,"['liter', 'L', 'litre', 'l']"
hes,120ltrs,magnitude,120
hes,120ltrs,unit,"['liter', 'L', 'litre', 'l']"
hes,135ltrs,magnitude,135
hes,135ltrs,unit,"['liter', 'L', 'litre', 'l']"
hes,154Ltrs,magnitude,154
hes,154Ltrs,unit,"['liter', 'L', 'litre', 'l']"
hes,12LTS,magnitude,12
hes,12LTS,unit,"['liter', 'L', 'litre', 'l']"
hes,62LTS,magnitude,62
hes,62LTS,unit,"['liter', 'L', 'litre', 'l']"
hes,70LTS,magnitude,70
hes,70LTS,unit,"['liter', 'L', 'litre', 'l']"
hes,85LTS,magnitude,85
hes,85LTS,unit,"['liter', 'L', 'litre', 'l']"
hes,118LTS,magnitude,118
hes,118LTS,unit,"['liter', 'L', 'litre', 'l']"
hes,123.5LTS,magnitude,123.5
hes,123.5LTS,unit,"['liter', 'L', 'litre', 'l']"
hes,132LTS,magnitude,132
hes,132LTS,unit,"['liter', 'L', 'litre', 'l']"
hes,147LTS,magnitude,147
hes,147LTS,unit,"['liter', 'L', 'litre', 'l']"
hes,192LTS,magnitude,192
hes,192LTS,unit,"['liter', 'L', 'litre', 'l']"
hes,268LTS,magnitude,268
hes,268LTS,unit,"['liter', 'L', 'litre', 'l']"
hes,284litres,magnitude,284
hes,284litres,unit,"['liter', 'L', 'litre', 'l']"
hes,147 litres,magnitude,147
hes,147 litres,unit,"['liter', 'L', 'litre', 'l']"
hes,18 Litres,magnitude,18
hes,18 Litres,unit,"['liter', 'L', 'litre', 'l']"
hes,54 Litres,magnitude,54
hes,54 Litres,unit,"['liter', 'L', 'litre', 'l']"
hes,84 Litres,magnitude,84
hes,84 Litres,unit,"['liter', 'L', 'litre', 'l']"
hes,85 Litres,magnitude,85
hes,85 Litres,unit,"['liter', 'L', 'litre', 'l']"
hes,90 Litres,magnitude,90
hes,90 Litres,unit,"['liter', 'L', 'litre', 'l']"
hes,91 Litres,magnitude,91
hes,91 Litres,unit,"['liter', 'L', 'litre', 'l']"
hes,94 Litres,magnitude,94
hes,94 Litres,unit,"['liter', 'L', 'litre', 'l']"
hes,98 Litres,magnitude,98
hes,98 Litres,unit,"['liter', 'L', 'litre', 'l']"
hes,102 Litres,magnitude,102
hes,102 Litres,unit,"['liter', 'L', 'litre', 'l']"
hes,103 Litres,magnitude,103
hes,103 Litres,unit,"['liter', 'L', 'litre', 'l']"
hes,105 Litres,magnitude,105
hes,105 Litres,unit,"['liter', 'L', 'litre', 'l']"
hes,107 Litres,magnitude,107
hes,107 Litres,unit,"['liter', 'L', 'litre', 'l']"
hes,108 Litres,magnitude,108
hes,108 Litres,unit,"['liter', 'L', 'litre', 'l']"
hes,110 Litres,magnitude,110
hes,110 Litres,unit,"['liter', 'L', 'litre', 'l']"
hes,130 Litres,magnitude,130
hes,130 Litres,unit,"['liter', 'L', 'litre', 'l']"
hes,140 Litres,magnitude,140
hes,140 Litres,unit,"['liter', 'L', 'litre', 'l']"
hes,141 Litres,magnitude,141
hes,141 Litres,unit,"['liter', 'L', 'litre', 'l']"
