0,1,2,3,4
hes,62 L,magnitude,62.0,
hes,62 L,unit,"['liter', 'L', 'litre', 'l']",
hes,116 L,magnitude,116.0,
hes,116 L,unit,"['liter', 'L', 'litre', 'l']",
hes,67l,magnitude,67.0,
hes,67l,unit,"['liter', 'L', 'litre', 'l']",
hes,120l,magnitude,120.0,
hes,120l,unit,"['liter', 'L', 'litre', 'l']",
hes,165l,magnitude,165.0,
hes,165l,unit,"['liter', 'L', 'litre', 'l']",
hes,170l,magnitude,170.0,
hes,170l,unit,"['liter', 'L', 'litre', 'l']",
hes,194l,magnitude,194.0,
hes,194l,unit,"['liter', 'L', 'litre', 'l']",
hes,225l,magnitude,225.0,
hes,225l,unit,"['liter', 'L', 'litre', 'l']",
hes,84L,magnitude,84.0,
hes,84L,unit,"['liter', 'L', 'litre', 'l']",
hes,90L,magnitude,90.0,
hes,90L,unit,"['liter', 'L', 'litre', 'l']",
hes,102L,magnitude,102.0,
hes,102L,unit,"['liter', 'L', 'litre', 'l']",
hes,122L,magnitude,122.0,
hes,122L,unit,"['liter', 'L', 'litre', 'l']",
hes,130L,magnitude,130.0,
hes,130L,unit,"['liter', 'L', 'litre', 'l']",
hes,147L,magnitude,147.0,
hes,147L,unit,"['liter', 'L', 'litre', 'l']",
hes,165L,magnitude,165.0,
hes,165L,unit,"['liter', 'L', 'litre', 'l']",
hes,181L,magnitude,181.0,
hes,181L,unit,"['liter', 'L', 'litre', 'l']",
hes,186L,magnitude,186.0,
hes,186L,unit,"['liter', 'L', 'litre', 'l']",
hes,200L,magnitude,200.0,
hes,200L,unit,"['liter', 'L', 'litre', 'l']",
hes,212L,magnitude,212.0,
hes,212L,unit,"['liter', 'L', 'litre', 'l']",
hes,225L,magnitude,225.0,
hes,225L,unit,"['liter', 'L', 'litre', 'l']",
hes,346L,magnitude,346.0,
hes,346L,unit,"['liter', 'L', 'litre', 'l']",
hes,130 lts,magnitude,130.0,
hes,130 lts,unit,"['liter', 'L', 'litre', 'l']",
hes,115lts,magnitude,115.0,
hes,115lts,unit,"['liter', 'L', 'litre', 'l']",
hes,131lts,magnitude,131.0,
hes,131lts,unit,"['liter', 'L', 'litre', 'l']",
hes,204lts,magnitude,204.0,
hes,204lts,unit,"['liter', 'L', 'litre', 'l']",
hes,120ltrs,magnitude,120.0,
hes,120ltrs,unit,"['liter', 'L', 'litre', 'l']",
hes,135ltrs,magnitude,135.0,
hes,135ltrs,unit,"['liter', 'L', 'litre', 'l']",
hes,154Ltrs,magnitude,154.0,
hes,154Ltrs,unit,"['liter', 'L', 'litre', 'l']",
hes,12LTS,magnitude,12.0,
hes,12LTS,unit,"['liter', 'L', 'litre', 'l']",
hes,62LTS,magnitude,62.0,
hes,62LTS,unit,"['liter', 'L', 'litre', 'l']",
hes,70LTS,magnitude,70.0,
hes,70LTS,unit,"['liter', 'L', 'litre', 'l']",
hes,85LTS,magnitude,85.0,
hes,85LTS,unit,"['liter', 'L', 'litre', 'l']",
hes,118LTS,magnitude,118.0,
hes,118LTS,unit,"['liter', 'L', 'litre', 'l']",
hes,123.5LTS,magnitude,123.5,
hes,123.5LTS,unit,"['liter', 'L', 'litre', 'l']",
hes,132LTS,magnitude,132.0,
